Timestamp,Container,CPU,MemUsage,MemPerc
1769446569,go-bench,0.07%,9.122MB / 12.21GB,0.07%
1769446569,java-bench,4.28%,214.4MB / 12.21GB,1.76%
1769446569,python-bench,2.16%,164.2MB / 12.21GB,1.35%
1769446570,go-bench,0.51%,17.25MB / 12.21GB,0.14%
1769446570,java-bench,4.26%,214.4MB / 12.21GB,1.76%
1769446570,python-bench,2.15%,164.2MB / 12.21GB,1.35%
1769446572,go-bench,1.20%,20.82MB / 12.21GB,0.17%
1769446572,java-bench,4.24%,214.4MB / 12.21GB,1.76%
1769446572,python-bench,2.14%,164.2MB / 12.21GB,1.35%
1769446573,go-bench,2.03%,24.45MB / 12.21GB,0.20%
1769446573,java-bench,4.22%,214.4MB / 12.21GB,1.76%
1769446573,python-bench,2.13%,164.2MB / 12.21GB,1.35%
1769446574,go-bench,2.94%,28.42MB / 12.21GB,0.23%
1769446574,java-bench,4.19%,214.4MB / 12.21GB,1.76%
1769446574,python-bench,2.13%,164.2MB / 12.21GB,1.35%
1769446575,go-bench,3.95%,31.64MB / 12.21GB,0.26%
1769446575,java-bench,4.17%,214.4MB / 12.21GB,1.76%
1769446575,python-bench,2.12%,164.2MB / 12.21GB,1.35%
1769446576,go-bench,4.83%,35.49MB / 12.21GB,0.29%
1769446576,java-bench,4.14%,214.4MB / 12.21GB,1.76%
1769446576,python-bench,2.11%,164.2MB / 12.21GB,1.35%
1769446578,go-bench,5.97%,40.71MB / 12.21GB,0.33%
1769446578,java-bench,4.12%,214.4MB / 12.21GB,1.76%
1769446578,python-bench,2.10%,164.2MB / 12.21GB,1.35%
1769446579,go-bench,7.10%,43MB / 12.21GB,0.35%
1769446579,java-bench,4.10%,214.4MB / 12.21GB,1.76%
1769446579,python-bench,2.09%,164.2MB / 12.21GB,1.35%
1769446580,go-bench,8.09%,47.89MB / 12.21GB,0.39%
1769446580,java-bench,4.08%,214.4MB / 12.21GB,1.76%
1769446580,python-bench,2.08%,164.2MB / 12.21GB,1.35%
1769446582,go-bench,9.09%,51.48MB / 12.21GB,0.42%
1769446582,java-bench,4.06%,214.4MB / 12.21GB,1.76%
1769446582,python-bench,2.08%,164.2MB / 12.21GB,1.35%
1769446583,go-bench,10.19%,55.17MB / 12.21GB,0.45%
1769446583,java-bench,4.05%,214.4MB / 12.21GB,1.76%
1769446583,python-bench,2.07%,164.2MB / 12.21GB,1.35%
1769446584,go-bench,11.20%,59.76MB / 12.21GB,0.49%
1769446584,java-bench,4.02%,214.4MB / 12.21GB,1.76%
1769446584,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446586,go-bench,12.27%,63.57MB / 12.21GB,0.52%
1769446586,java-bench,4.00%,214.4MB / 12.21GB,1.76%
1769446586,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446587,go-bench,13.72%,68.63MB / 12.21GB,0.56%
1769446587,java-bench,3.97%,214.4MB / 12.21GB,1.76%
1769446587,python-bench,2.06%,164.2MB / 12.21GB,1.35%
1769446589,go-bench,14.96%,72.43MB / 12.21GB,0.59%
1769446589,java-bench,3.95%,214.4MB / 12.21GB,1.76%
1769446589,python-bench,2.05%,164.2MB / 12.21GB,1.35%
1769446590,go-bench,16.43%,77.53MB / 12.21GB,0.64%
1769446590,java-bench,3.92%,214.4MB / 12.21GB,1.76%
1769446590,python-bench,2.07%,164.2MB / 12.21GB,1.35%
1769446592,go-bench,17.67%,77.93MB / 12.21GB,0.64%
1769446592,java-bench,3.90%,214.4MB / 12.21GB,1.76%
1769446592,python-bench,2.07%,164.2MB / 12.21GB,1.35%
1769446593,go-bench,18.90%,83.14MB / 12.21GB,0.68%
